,year,title,album,artist,lyrics
10,,Ain't no more cane - (alternate version) take 2,,Bob Dylan,"Ain't no more cane on the Brazos
It's all been ground down to molasses

You shoulda been on the river in 1910
They were driving the women just like they drove the men

Go down Old Hannah, don't you rise no more
Don't you rise up 'til Judgment Day's for sure

Ain't no more cane on the Brazos
It's all been ground down to molasses

Captain, don't you do me like you done poor old Shine
Well, ya drove that bully 'til he went stone blind

Wake up on a lifetime, hold up your own head
Well, you may get a pardon and then you might drop dead

Ain't no more cane on the Brazos
It's all been ground down to molasses"
11,2006-08-29,Ain't Talkin',Modern Times,Bob Dylan,"[Verse 1]
As I walked out tonight in the mystic garden
The wounded flowers were danglin' from the vine
I was passin' by yon cool and crystal fountain
Someone hit me from behind

[Verse 2]
Ain't talkin', just a'walkin'
Through this weary world of woe
Heart burnin', still yearnin'
No one on earth would ever know

[Verse 3]
They say prayer has the power to help
So pray from the mother
In the human heart an evil spirit can dwell
I'm a'tryin' to love my neighbor and do good unto others
But oh, mother, things ain't goin' well

[Verse 4]
Ain't talkin', just a'walkin'
I'll burn that bridge before you can cross
Heart burnin', still yearnin'
They'll be no mercy for ya' once you've lost

[Verse 5]
Now I'm all worn down by weepin'
My eyes are filled with tears, my lips are dry
If I catch my opponents ever sleepin'
I'll just slaughter them where they lie

[Verse 6]
Ain't talkin', just a'walkin'
Through the world mysterious and vague
Heart burnin', still yearnin'
Walkin' a'through the cities of the plague

[Verse 7]
Well, the whole world is filled with speculation
The whole wide world which people say is round
They will tear your mind away from contemplation
They will jump on your misfortune when you're down

[Verse 8]
Ain't talkin', just a'walkin'
Eatin' hog-eyed grease in a hog-eyed town
Heart burnin', still yearnin'
Someday you'll be glad to have me around

[Verse 9]
They will crush you with wealth and power
Every wakin' moment you could crack
I'll make the most of one last extra hour
I'll avenge my father's death an' I'll step back

[Verse 10]
Ain't talkin', just walkin'
Hand me down my walkin' cane
Heart burnin', still yearnin'
Got to get ya' out of my miserable brain

[Verse 11]
All o' my loyal and much-loved companions
They approve of me and share my code
I practice a faith that's been long abandoned
Ain't no altars on this long and lonesome road

[Verse 12]
Ain't talkin', just a'walkin'
My mule is sick, my horse is blind
Heart burnin', still yearnin'
Thinkin' ‘bout that gal I left behind

[Verse 13]
Well, it's bright in the heavens and the wheels are flyin'
Fame and honor never seem to fade
The fire gone out but the light is never dyin'
Who says I can't get heavenly aid?

[Verse 14]
Ain't talkin', just a'walkin'
Carryin' a dead man's shield
Heart burnin', still yearnin'
A'walkin' a'with a toothache in my heel

[Verse 15]
The sufferin' is unending
Every nook and cranny has its tears
I'm a'not playin', I'm not pretending
I'm not nursin' any superfluous fears

[Verse 16]
Ain't talkin', just a'walkin'
Walkin' ever since the other night
Heart burnin', still yearnin'
Walkin' ‘til I'ma clean outta sight

[Verse 17]
As I walked out in the mystic garden
On a hot summer day, a hot summer lawn
""Excuse me, ma'am, I beg your pardon
There's no one here, the gardener is gone""

[Verse 18]
Ain't talkin', a'just a'walkin'
Up the road around the bend
Heart burnin', still yearnin'
In the last outback, at the world's end"
12,,Ain't Talkin' (alternate version),,Bob Dylan,"As I walked out tonight in a mystic garden
Wounded flowers were dangling from the vine
I was passing by yon' cool and crystal fountain
Someone hit me from behind
Ain't talkin', just walkin'
Through this weary world of woe
Heart burnin', still yearnin'
No one on earth will ever know
They say prayer has the power to help so pray for the mother
In the human heart, the evil spirit can dwell
I'm trying to love my neighbor, do good unto others
But mother, things ain't goin' well
Ain't talkin', just walkin'
I'll burn that bridge before you get across
Heart burnin', still yearnin'
There'll be no mercy for you once you've lost
I'm all worn out from weeping
My eyes are full of tears and my lips are dry
If I ever catch my opponent sleeping
I'll slaughter him where they lie
Ain't talkin', just walkin'
Through a world mysterious and vague
Heart burnin', still yearnin'
Walkin' through the cities of the plague
The whole world is full of speculation
The whole world that people say is round
I've got no time for idle conversation
I need to find a doctor in this town
Ain't talkin', just walkin'
All rails leading to the west
Heart burnin', still yearnin'
I'm gonna throw myself upon your loving breast
It's the first new day of a grand and glorious autumn
The queen of love is coming across the grass
None may call her anything but madam
No one flirts with her nor even makes a pass
Ain't talkin', just walkin'
Standing outside the gates of wrath
Heart burnin', still yearnin'
Take a little trip down the primrose path
Now I got the worst old feeling and it's getting stronger
I'm going out with a couple of fellows, I'm beginning to crack
I won't stay out any longer
I'll avenge my father's death and I'll step back
Ain't talkin', just walkin'
Hand me down my walking cane
Heart burnin', still yearnin'
Trying to get you out of my miserable brain
As I walk out tonight in the mystic garden
The wounded flowers are dangling from the vine
I was passing by yon' cool and crystal fountain
Someone lit me from behind
Ain't talkin', just walkin'
You ride them high and down you go
Heart burnin', still yearnin'
No one on earth will ever know"
13,1967-12-27,All Along The Watchtower,John Wesley Harding,Bob Dylan,"[Verse 1]
""There must be some way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen, they drink my wine
Plowmen dig my earth
None of them along the line
Know what any of it is worth""

[Verse 2]
""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But you and I, we've been through that
And this is not our fate
So let us not talk falsely now
The hour is getting late""

[Verse 3]
All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too

[Verse 4]
Outside, in the distance
A wildcat did growl
Two riders were approaching
The wind began to howl"
14,,All American Boy,,Bob Dylan,"Well, I bought me a guitar, put it in tune
Went out there the month of June
'Twas a hot dog night and a stick in a roar
Everybody was a-down on this side
There was a holy cow (holy cow)
Mean cow (mean cow)
Double jaw (double jaw)
Cow (cow)

Well, I'll tell you a story about how to become
An all American boy, you can beat on a drum
Beat on a drum from five to six
You'll be rock 'n' rollin' soon gettin' your kicks
It's a good job (good job)
Join the band (gigging in the band)
Bring your hand (pick your hand)

Clean your hand and come up tight
Roll a smoke and down at night
Hold on a train, on a whiskey jar
Settle it down there you are
Hold it steady
Pick it up now
Now hit it (makin' the girls giggle)

Yes, you'll be makin' 'em little girlies giggle
You'll be makin' 'em all just jump up an' down an' wiggle
Empty their socks, in their britches
All you'll find that soon you'll be itches
Itches all over
Itch in your pants
Itch while you dance
Itchin' on down to the corn' of France

Well, I know a boy yesterday
He become a guitar and he floated away
He played his bars and he played 'em all
He's just on there havin' a ball
Kicking a hot storm up over the ocean
He took himself a notion

He got some lotion and
He put it on his guitar, put it on him
Next time you knew you can call him Jim
Down the road, boy, they call him Slim
They don't care if they're carry him
Just a minute now, you'll see what I mean
(Uncle Sam, in this land, rippin' up draft cards, an' all that)

Well, sooner or later a man's gonna come
He gonna take a look at you, look at your drum
He'd be a man and he'll take you home
Yeah, he'll take you out to his farm
He'll give you a good one
He'll give it to ya
(Well, you meet, girls don't giggle no more)

Well, sooner or later you're bound to meet his wife
And you'll come in 'n' have the time of your life
Just pickin' the gum, pickin' up a star
Pickin' up goin' and goin' to the bar
You and your manager (pickin' my nose)

Well, you'll want to know about the manager soon
He'll just take you outside and put you on the moon
He'll buy you new clothes, new pair of shoes
You'll be walk' away with the drummer blues
You'd be a fine drummer
Pick 'em as a comer
Dog hummer"
15,,All I Have To Do Is Dream,,Bob Dylan,"I can make you mine
Taste your lips of wine
Any time, night or day
Only trouble is, gee whiz
I'm dreaming my life away
Dream dream dream dream
Dream dream dream dream
Whenever I want you
All I have to do is dream
Dream dream dream dream
Dream dream dream dream
When I want you in my mind
And I need you to hold me tight
Whenever I want you
All I have to do is dream
Dream dream dream dream
Dream dream dream dream
I can make you mine
Taste your lips of wine
Any time night or day
Only trouble is, gee whiz
I'm dreaming my life away
I need you so that I could die
I want you so and that is why
Whenever I want you
All I have to do is dream
Dream dream dream dream
Dream dream dream dream"
16,1964-08-08,All I Really Want To Do,Another Side of Bob Dylan,Bob Dylan,"[Verse 1]
I ain't lookin' to compete with you
Beat or cheat or mistreat you
Simplify you, classify you
Deny, defy or crucify you
All I really want to do
Is, baby, be friends with you

[Verse 2]
No, and I ain't lookin' to fight with you
Frighten you or uptighten you
Drag you down or drain you down
Chain you down or bring you down
All I really want to do
Is, baby, be friends with you

[Verse 3]
I ain't lookin' to block you up
Shock or knock or lock you up
Analyze you, categorize you
Finalize you or advertise you
All I really want to do
Is, baby, be friends with you

[Verse 4]
I don’t wanta' straight-face you
Race or chase you, track or trace you
Or disgrace you or displace you
Or define you or confine you
All I really want to do
Is, baby, be friends with you

[Verse 5]
I don’t wanta' meet your kin
Make you spin or do you in
Or select you or dissect you
Or inspect you or reject you
All I really want to do
Is, baby, be friends with you

[Verse 6]
I don’t wanta' fake you out
Take or shake or forsake you out
I ain't lookin' for you to feel like me
See like me or be like me
All I really want to do
Is, baby, be friends with you"
17,2010-10-19,All Over You,"The Bootleg Series, Vol 9: The Witmark Demos: 1962-1964",Bob Dylan,"[Verse 1]
Well, if I had to do it all over again
Babe, I’d do it all over you
And if I had to wait for ten thousand years
Babe, I’d even do that too
Well, a dog’s got his bone in the alley
A cat, she’s got nine lives
A millionaire’s got a million dollars
King Saud’s got four hundred wives
Well, ev’rybody’s got somethin’
That they’re looking’ forward to
I’m looking’ forward to when I can do it all again
And babe, I’ll do it all over you

[Verse 2]
Well, if I had my way tomorrow or today
Babe, I’d run circles all around
I’d jump up in the wind, do a somersault and spin
I’d even dance a jig on the ground
Well, everybody gets their hour
Everybody gets their time
Little David when he picked up his pebbles
Even Sampson after he went blind
Well, everybody gets the chance
To do what they want to do
When my time arrives you better run for your life
’Cause babe, I’ll do it all over you

[Verse 3]
Well, I don’t need no money, I just need a day that’s sunny
Baby, and my days are gonna come
And I grab me a pint, you know that I’m a giant
When you hear me yelling’, “Fee-fi-fo-fum”
Well, you cut me like a jigsaw puzzle
You made me to a walk-in’ wreck
Then you pushed my heart through my backbone
Then you knocked off my head from my neck
Well, if I’m ever stand-in’ steady
A-doin’ what I want to do
Well, I tell you little lover that you better run for cover
’Cause babe, I’ll do it all over you

[Verse 4]
I’m just resting’ at your gate so that I won’t be late
And, momma, I’m a-just sitting’ on the shelf
Look out your window fair and you’ll see me squatting’ there
Just a-fumblin’ and a-mumbling’ to myself
Well, after my cigarette’s been smoked up
After all my liquor’s been drunk
After my dreams are dreamed out
After all my thoughts have been sunk
Well, after I do some of these things
I’m gonna do what I have to do
And I tell you on the side, that you better run and hide
’Cause babe, I’ll do it all over you"
18,1970-06-08,All The Tired Horses,Self Portrait,Bob Dylan,"All the tired horses in the sun
How'm I supposed to get any riding done? Hmm"
19,,All You Have to Do Is Dream (take 2),,Bob Dylan,"If the farmer has no silo
And his fuel cost runs up high
Well, that's just how much I would love you
If you'd just only let me try

In some nice young up to date kitchen
Let us get acquainted, dear
And them old floor birds will just quit eatin'
And just grin from ear to ear

Two floor birds and a prudent baby chick
Yes that ain't, that ain't much to bust
But restriction causes damage
And damage causes lust

So poor little girl, come blow this horn
Hard as any whole night seems
It's very easily done actually
All you have to do is dream

Well, them old back scrapers are a dime a dozen
And I can get a call for a nickle
Yes, but look what an earful I get and it's all awful too
Every time I try to go get me a little tickle

So, gimme one sweet loaf of bread
Just one sweet loaf, fill it up and I'll be gone
Yes, just like some of these old floor birds
Who fly from dawn to dawn
Oh yes, who fly from dawn to dawn
Yes, who fly from dawn to dawn
Oh, fly from dawn to dawn"
20,,Angelina,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Bob Dylan,"[Verse 1]
Well, it’s always been my nature to take chances
My right hand drawing back while my left hand advances
Where the current is strong and the monkey dances
To the tune of a concertina

[Verse 2]
Blood dryin’ in my yellow hair as I go from shore to shore
I know what it is that has drawn me to your door
But whatever it could be, makes me think you’ve seen me before
Angelina

[Chorus]
Oh, Angelina. Oh, Angelina

[Verse 3]
His eyes were two slits that would make a snake proud
With a face that any painter would paint as he walked through the crowd
Worshipping a god with the body of a woman well endowed
And the head of a hyena

[Verse 4]
Do I need your permission to turn the other cheek?
If you can read my mind, why must I speak?
No, I have heard nothing about the man that you seek
Angelina

[Chorus]

[Verse 5]
In the valley of the giants where the stars and stripes explode
The peaches they were sweet and the milk and honey flowed
I was only following instructions when the judge sent me down the road
With your subpoena

[Verse 6]
When you cease to exist, then who will you blame
I’ve tried my best to love you but I cannot play this game
Your best friend and my worst enemy is one and the same
Angelina


[Chorus]

[Verse 7]
There’s a black Mercedes rolling through the combat zone
Your servants are half dead, you’re down to the bone
Tell me, tall men, where would you like to be overthrown
Maybe down in Jerusalem or Argentina?

[Verse 8]
She was stolen from her mother when she was three days old
Now her vengeance has been satisfied and her possessions have been sold
He’s surrounded by God’s angels and she’s wearing’ a blindfold
And so are you, Angelina

[Chorus]

[Verse 9]
I see pieces of men marching; trying to take heaven by force
I can see the unknown rider, I can see the pale white horse
In God’s truth tell me what you want and you’ll have it of course
Just step into the arena

[Verse 10]
Beat a path of retreat up them spiral staircases
Pass the tree of smoke, pass the angel with four faces
Begging God for mercy and weeping’ in unholy places
Angelina

[Chorus]"
21,,"Annie's Going to Sing Her Song - Unreleased, Self Portrait",,Bob Dylan,"What's your hurry? Just watch this
This is one you mustn't miss:
Annie's going to sing her song
Called
""Take Me Back Again

A drink for me, a drink for you;
You're going to need a drink or two:
Annie's going to sing her song
Called
""Take Me Back Again

You never heard it sung before;
I hear it twice a month or more
Complete with tears and sheepish grins;
It only lacks the violins

The tune goes flat from time to time
The lyric sometimes fails to rhyme
But Annie's going to sing her song
Called
""Take Me Back Again

La la la la la la la
La la la la la la la
Annie's going to sing her song
Called
""Take Me Back Again

It sometimes lasts the whole night long
Depends on how long she's been gone
I sit and look as hard as nails;
She knows the damn thing never fails

Take the bottle, fill your cup;
Don't miss the part where I fold up;
Annie's going to sing her song
Called
""Take Me Back Again

La la la la la la la
La la la la la la la
Annie's going to sing her song
Called
""Take Me Back Again

It isn't Annie's only tune;
The other I'll be hearing soon
Next week, tomorrow, or today;
She sings it when she goes away

Take the bottle, fill your cup;
Don't miss the part where I fold up;
Annie's going to sing her song
Called
""Take Me Back Again;
Come on, Annie, sing you song
Called
""Take Me Back Again"
22,1975-06-26,Apple Suckling Tree,The Basement Tapes,Bob Dylan,"[Verse 1]
Old man sailing in a dinghy boat
Down there
Old man down is baiting a hook
On there
Gonna pull man down on a suckling hook
Gonna pull man into the suckling brook
Oh yeah!

[Verse 2]
Now, he’s underneath that apple suckling tree
Oh yeah!
Under that apple suckling tree
Oh yeah!
That’s underneath that tree
There’s gonna be just you and me
Underneath that apple suckling tree
Oh yeah!

[Verse 3]
I push him back and I stand in line
Oh yeah!
Then I hush my Sadie and stand in line
Oh yeah!
Then I hush my Sadie and stand in line
I get on board in two-eyed time
Oh yeah!

[Verse 4]
Under that apple suckling tree
Oh yeah!
Under that apple suckling tree
Oh yeah!
Underneath that tree
There’s just gonna be you and me
Underneath that apple suckling tree
Oh yeah!

[Verse 5]
Now, who’s on the table, who’s to tell me?
Oh yeah!
Who’s on the table, who’s to tell me?
Oh yeah!
Who should I tell, oh, who should I tell?
The forty-nine of you like bats out of hell
Oh underneath that old apple suckling tree"
23,,Apple Suckling Tree (take 1),,Bob Dylan,"Under that apple suckling tree, oh yeah!
Under that apple suckling tree, oh yeah!
Underneath that tree
There's just gonna be you and me
Under that apple suckling tree, oh yeah!

Old man down and caught and hooked down there
Old man down and caught and hooked down there
Old man down and caught and hooked
Line up baby, y'all take a look
Old man down and caught and hooked down there

Under that apple suckling tree, oh yeah!
Under that apple suckling tree, oh yeah!
Underneath that tree
There's just gonna be you and me
Underneath that apple suckling tree oh yeah!

Now I wish to my soul I had seven years, uh-huh
Now I wish to my soul I had seven years, uh-huh
Hey, if I fall on your buryin' ground
Didn't catch your name, but he had a hound
Bad on down there on the avenue, oh yeah

Under that apple suckling tree, oh yeah!
Under that apple suckling tree, oh yeah!
Underneath that tree
There's just gonna be you and me
Underneath that apple suckling tree, oh yeah!

Under that apple suckling tree, oh yeah!
Under that apple suckling tree, oh yeah!
Underneath that tree
There's just gonna be you and me
Underneath that apple suckling tree oh yeah!"
24,1980-06-23,Are You Ready,Saved,Bob Dylan,"[Chorus]
Are you ready, are you ready?
Are you ready, are you ready?

[Verse 1]
Are you ready to meet Jesus?
Are you where you ought to be?
Will He know you when He sees you
Or will He say, “Depart from Me”?

[Chorus]
Are you ready, hope you’re ready
Am I ready, am I ready?
Am I ready, am I ready?

[Verse 2]
Am I ready to lay down my life for the brethren
And to take up my cross?
Have I surrendered to the will of God
Or am I still acting like the boss?

[Chorus]
Am I ready, hope I’m ready

[Verse 3]
When destruction cometh swiftly
And there’s no time to say a fare-thee-well
Have you decided whether you want to be
In heaven or in hell?

[Chorus]
Are you ready, are you ready?

[Verse 4]
Have you got some unfinished business?
Is there something holding you back?
Are you thinking for yourself
Or are you following the pack?

[Chorus]
Are you ready, hope you’re ready
Are you ready?

Are you ready for the judgment?
Are you ready for that terrible swift sword?
Are you ready for Armageddon?
Are you ready for the day of the Lord?

Are you ready, I hope you’re ready"
